y,x,ID,이디야,스타벅스,커피빈,빽다방,커피지수
0,7,철원,2,0,0,0,0.0
0,8,화천,1,0,0,1,0.0
0,9,양구,1,0,0,0,0.0
0,10,고성(강원),0,0,0,0,0.0
1,3,양주,17,7,0,1,0.3888888888888889
1,4,동두천,2,3,0,1,1.0
1,5,연천,1,0,2,0,2.0
1,6,포천,8,5,0,1,0.5555555555555556
1,7,의정부,24,10,0,4,0.3571428571428571
1,8,춘천,26,11,0,2,0.3928571428571428
1,9,인제,3,2,0,0,0.6666666666666666
1,10,속초,9,4,0,0,0.4444444444444444
2,3,파주,20,8,1,8,0.3214285714285714
2,4,고양 일산동,12,11,5,6,0.8888888888888888
2,5,서울 도봉,9,2,0,3,0.1666666666666666
2,6,서울 노원,19,12,2,6,0.56
2,7,남양주,44,12,1,5,0.2653061224489796
2,8,홍천,3,2,0,1,0.5
2,9,횡성,1,1,0,0,1.0
2,10,양양,2,0,0,0,0.0
3,3,고양 일산서,12,15,5,2,1.4285714285714286
3,4,고양 덕양,18,15,1,8,0.6153846153846154
3,5,서울 강북,10,5,1,3,0.4615384615384615
3,6,서울 성북,19,15,3,7,0.6923076923076923
3,7,가평,9,2,0,0,0.2222222222222222
3,8,구리,9,3,0,3,0.25
3,9,하남,25,10,1,2,0.4074074074074074
3,10,정선,1,0,0,0,0.0
3,11,강릉,15,5,0,2,0.2941176470588235
4,2,김포,22,14,2,13,0.4571428571428571
4,3,광명,7,10,1,2,1.2222222222222223
4,4,서울 은평,18,8,2,6,0.4166666666666667
4,5,서울 서대문,11,19,5,3,1.7142857142857142
4,6,서울 종로,13,31,13,3,2.75
4,7,서울 동대문,17,8,3,4,0.5238095238095238
4,8,서울 중랑,13,7,1,4,0.4705882352941176
4,9,양평,4,3,0,1,0.6
4,10,태백,1,1,0,0,1.0
4,11,동해,1,1,1,1,1.0
5,1,인천 강화,1,1,0,1,0.5
5,2,부천,29,17,6,11,0.575
5,3,안양 만안,9,4,1,5,0.3571428571428571
5,4,서울 강서,37,17,5,8,0.4888888888888889
5,5,서울 마포,24,27,8,6,1.1666666666666667
5,6,서울 중구,17,43,8,5,2.3181818181818183
5,7,서울 성동,13,6,2,7,0.4
5,8,서울 강동,13,13,7,8,0.9523809523809524
5,9,여주,4,3,1,0,1.0
5,10,원주,15,8,1,4,0.4736842105263157
5,11,삼척,4,0,0,1,0.0
6,1,인천 서구,22,9,0,11,0.2727272727272727
6,2,인천 동구,1,2,0,1,1.0
6,3,안양 동안,14,14,1,3,0.8823529411764706
6,4,서울 양천,16,12,4,0,1.0
6,5,서울 동작,10,11,1,4,0.8571428571428571
6,6,서울 용산,12,22,4,4,1.625
6,7,서울 광진,12,18,3,6,1.1666666666666667
6,8,서울 송파,32,33,8,8,1.025
6,9,이천,9,8,1,1,0.9
6,10,평창,2,3,0,0,1.5
6,11,울진,3,0,1,1,0.25
7,2,인천 계양,13,3,0,7,0.15
7,3,시흥,20,11,0,7,0.4074074074074074
7,4,서울 금천,16,11,2,1,0.7647058823529411
7,5,서울 영등포,21,28,10,5,1.4615384615384617
7,6,서울 서초,18,42,26,4,3.0909090909090913
7,7,서울 강남,27,79,47,9,3.5
7,8,성남 중원,8,2,1,4,0.25
7,9,광주,14,5,0,4,0.2777777777777778
7,10,영월,1,0,0,0,0.0
7,11,영덕,2,1,1,0,1.0
8,2,인천 부평,22,9,1,6,0.3571428571428571
8,3,안산 상록,15,2,0,1,0.125
8,4,서울 구로,20,9,2,6,0.4230769230769231
8,5,서울 관악,23,11,2,7,0.4333333333333333
8,6,과천,2,3,0,0,1.5
8,7,성남 분당,16,45,7,11,1.9259259259259256
8,8,성남 수정,11,3,1,6,0.2352941176470588
8,9,용인 처인,9,4,0,1,0.4
8,9,용인 수지,14,11,1,4,0.6666666666666666
8,10,문경,4,1,0,1,0.2
8,11,봉화,0,0,0,0,0.0
8,13,울릉,0,0,0,0,0.0
9,1,인천 중구,12,5,2,6,0.3888888888888889
9,2,인천 미추홀,11,8,0,3,0.5714285714285714
9,3,안산 단원,27,5,0,6,0.1515151515151515
9,4,군포,8,5,2,9,0.4117647058823529
9,5,의왕,5,2,0,3,0.25
9,6,수원 권선,11,7,1,4,0.5333333333333333
9,7,수원 영통,18,13,3,4,0.7272727272727273
9,8,용인 수지,14,11,1,4,0.6666666666666666
9,9,용인 기흥,22,13,1,9,0.4516129032258064
9,10,안동,6,5,0,1,0.7142857142857143
9,11,영양,0,0,0,0,0.0
10,0,인천 옹진,2,1,0,0,0.5
10,1,인천 연수,15,14,6,6,0.9523809523809524
10,2,인천 남동,28,11,1,11,0.3076923076923077
10,3,화성,28,16,5,10,0.5526315789473685
10,4,오산,8,6,0,2,0.6
10,5,수원 팔달,8,8,2,3,0.9090909090909092
10,6,수원 장안,4,4,2,3,0.8571428571428571
10,7,제천,8,1,3,0,0.5
10,8,예천,1,0,0,1,0.0
10,9,영주,2,0,0,1,0.0
10,10,구미,15,10,1,5,0.55
10,11,청송,1,1,0,0,1.0
10,12,포항 북구,13,6,1,2,0.4666666666666667
11,0,태안,2,0,0,1,0.0
11,1,아산,10,7,0,7,0.4117647058823529
11,2,천안 동남,8,6,1,4,0.5833333333333334
